Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
30,9,3,12,0.5166666666666667,57.52519773822856,agent.zip
30,9,2,9,0.5666666666666667,66.61402007247908,agent.zip
30,6,2,12,0.4638888888888889,66.68316102167311,agent.zip
30,6,3,12,0.4111111111111111,57.66243713283427,agent.zip
30,3,2,6,0.3194444444444444,66.78402970992742,agent.zip
30,6,3,9,0.4111111111111111,57.66243713283427,agent.zip
30,6,2,6,0.4638888888888889,66.68316102167311,agent.zip
40,9,3,12,0.7194444444444444,60.70777894013488,agent.zip
40,3,2,6,0.4222222222222222,61.84930640043516,agent.zip
40,3,3,6,0.4388888888888889,61.518526033473925,agent.zip
