Environment Size,Obstacle %,Normalized Steps,Success Rate,Avg Collisions
25,0.1,0.41724000000000006,98.9,0.0
25,0.5,0.5786400000000002,89.5,0.164
25,1.0,0.7755599999999999,78.7,0.491
25,2.0,0.97056,63.7,0.754
25,5.0,1.40976,31.6,0.801
50,0.1,0.44342000000000004,96.1,0.33
50,0.5,0.60576,88.4,1.333
50,1.0,0.93076,69.0,2.085
50,2.0,1.34744,37.8,1.596
50,5.0,1.71128,8.3,1.757
100,0.1,0.53177,91.7,1.769
100,0.5,0.70228,84.2,6.085
100,1.0,1.1145399999999999,57.199999999999996,4.33
100,2.0,1.59277,20.200000000000003,2.088
