Environment Size,Obstacle %,Normalized Steps,Success Rate,Avg Collisions,Truncated Runs (%)
25,0.1,0.18808000000000005,100.0,0.0,0.0
25,0.5,0.23244000000000006,98.9,0.004,1.0999999999999999
25,1.0,0.29240000000000005,97.39999999999999,0.133,2.6
25,2.0,0.5474,84.89999999999999,0.728,15.0
25,5.0,1.2464000000000002,41.699999999999996,2.584,57.9
50,0.1,0.16286,99.9,0.0,0.1
50,0.5,0.20460000000000003,99.2,0.097,0.8
50,1.0,0.3341,94.39999999999999,0.214,5.6000000000000005
50,2.0,0.7436600000000001,73.4,0.822,26.5
50,5.0,1.5780999999999998,16.1,4.057,83.89999999999999
100,0.1,0.13027,100.0,0.002,0.0
100,0.5,0.17901,99.0,0.033,1.0
100,1.0,0.35528,92.60000000000001,0.045,7.3999999999999995
100,2.0,1.0238900000000002,56.10000000000001,1.277,43.9
100,5.0,1.7749000000000001,3.4000000000000004,4.029,96.6
150,0.1,0.11726666666666669,100.0,0.002,0.0
150,0.5,0.17244,98.7,0.348,1.3
150,1.0,0.43682000000000004,85.9,0.463,14.099999999999998
150,2.0,1.1611399999999998,45.800000000000004,2.586,54.2
150,5.0,1.7859933333333333,0.7000000000000001,5.665,99.3
200,0.1,0.11244,99.8,0.003,0.2
200,0.5,0.196285,97.1,0.012,2.9000000000000004
200,1.0,0.46230999999999994,86.0,0.543,14.000000000000002
200,2.0,1.359345,34.1,2.074,65.9
200,5.0,1.79435,0.5,8.099,99.5
