Environment Size,Obstacle %,Normalized Steps,Success Rate,Avg Collisions
100,1,5.0,0.0,0.0
100,1,1.92,100.0,0.0
100,1,0.55,100.0,0.0
100,1,5.0,0.0,0.0
100,1,1.96,100.0,0.0
100,1,5.0,0.0,0.0
100,1,0.59,100.0,1.0
100,1,0.76,100.0,1.0
100,1,1.89,100.0,0.0
100,1,2.06,100.0,0.0
100,1,0.63,100.0,1.0
100,1,0.94,100.0,0.0
100,1,5.0,0.0,0.0
100,1,5.0,0.0,0.0
100,1,1.38,100.0,0.0
100,1,2.08,100.0,0.0
100,1,1.04,100.0,1.0
100,1,0.58,100.0,1.0
100,1,5.0,0.0,0.0
100,1,0.08,100.0,1.0
100,1,5.0,0.0,0.0
100,1,1.64,100.0,0.0
100,1,5.0,0.0,0.0
100,1,1.29,100.0,0.0
100,1,0.48,100.0,1.0
