Environment Size,Obstacle %,Normalized Steps,Success Rate,Avg Collisions
25,0.1,0.39144000000000007,99.3,0.0
25,0.5,0.57612,90.10000000000001,0.213
25,1.0,0.72088,80.10000000000001,0.292
25,2.0,0.9648799999999998,61.0,0.512
25,5.0,1.4370399999999999,28.9,1.069
50,0.1,0.47790000000000005,94.3,0.271
50,0.5,0.6267999999999999,87.1,1.401
50,1.0,0.90588,70.1,1.794
50,2.0,1.3750400000000003,36.5,1.244
50,5.0,1.72472,7.000000000000001,1.914
100,0.1,0.52433,92.9,2.529
100,0.5,0.67106,83.7,6.68
100,1.0,1.12649,58.699999999999996,3.262
100,2.0,1.58065,21.099999999999998,3.482
100,5.0,1.7880099999999997,1.0999999999999999,2.801
150,0.1,0.4598,93.7,3.028
150,0.5,0.68082,84.89999999999999,6.843
150,1.0,1.1579333333333333,56.2,4.364
150,2.0,1.6512933333333333,13.5,4.655
150,5.0,1.8136599999999998,0.3,2.292
200,0.1,0.44115999999999994,94.3,6.79
200,0.5,0.714295,81.2,10.05
200,1.0,1.1986100000000002,51.4,6.737
200,2.0,1.7192100000000001,8.1,6.002
200,5.0,1.79403,0.0,1.838
