Model Checkpoint,Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Avg of Max Deviations
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,3,1,6,0.04278,35.84826783927936,60.51697629789516
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,3,1,9,0.0486,34.97515906769745,59.323295416617924
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,3,1,12,0.04598,36.305561036206726,60.6771626958306
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,3,2,6,0.06272,34.77555891122654,60.30585285378853
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,3,2,9,0.057,34.35081849964811,62.90178054889241
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,3,2,12,0.06978,31.921891264814853,60.72169200554305
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,3,3,6,0.09672,37.06336758016718,63.35713490565189
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,3,3,9,0.09784,35.551463447715996,62.32158298544105
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,3,3,12,0.09004,34.611929523151936,63.62836630396081
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,6,1,6,0.03944,36.26771593376016,60.57598787383408
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,6,1,9,0.02274,36.28562394107695,62.84171816783774
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,6,1,12,0.02578,39.839878355367915,62.81103434835975
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,6,2,6,0.0647,36.50120591942437,59.87670285797863
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,6,2,9,0.06402,34.40727119113277,61.71044537919237
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,6,2,12,0.07168,39.095312906637766,65.78045941965968
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,6,3,6,0.07448,39.05455223069549,64.276460543396
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,6,3,9,0.08258,37.62986915384086,65.8457685923351
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,6,3,12,0.07852,38.857565237343515,62.54117993515202
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,9,1,6,0.03468,42.48155689937932,63.3827445836435
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,9,1,9,0.04268,37.94078294608364,59.45983769079342
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,9,1,12,0.0277,37.49751701178298,62.027931621505424
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,9,2,6,0.07338,38.91407079849441,62.58938151907112
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,9,2,9,0.0633,37.015338102553294,62.262726603738926
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,9,2,12,0.0444,36.265528274025975,61.40166823536275
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,9,3,6,0.10478,39.71705878590114,64.34120160054609
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,9,3,9,0.09804,37.49459276606461,63.558847412287435
