Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
30,3,3,12,0.24166666666666667,61.309820304467145,agent.zip
30,3,3,9,0.24166666666666667,61.309820304467145,agent.zip
40,6,3,6,0.5027777777777778,58.092183461795095,agent.zip
30,9,3,6,0.44722222222222224,64.78590782368036,agent.zip
40,3,2,6,0.275,61.272597549050964,agent.zip
40,3,3,9,0.35833333333333334,58.08423896422809,agent.zip
40,6,3,9,0.5027777777777778,58.092183461795095,agent.zip
40,9,3,12,0.6472222222222223,58.01946965197616,agent.zip
40,9,2,6,0.5666666666666667,61.27666329379341,agent.zip
40,3,2,9,0.275,61.272597549050964,agent.zip
