Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,9,2,9,0.024,69.53373694762122,agent.zip
5,3,2,6,0.015866666666666668,71.05352298154521,agent.zip
5,6,1,6,0.002,82.76991749636025,agent.zip
5,6,3,9,0.034666666666666665,70.66760316371294,agent.zip
10,9,3,9,0.0994,77.88474568412731,agent.zip
10,3,2,6,0.010866666666666667,65.22210861827598,agent.zip
10,6,1,6,0.011,74.70921621919693,agent.zip
10,9,1,12,0.035,69.73200452962234,agent.zip
10,3,1,9,0.008466666666666667,75.61134892582497,agent.zip
10,6,1,9,0.022266666666666667,70.98486332055761,agent.zip
20,6,3,6,0.07526666666666666,78.12774892204528,agent.zip
20,6,2,6,0.030733333333333335,77.59277334190891,agent.zip
20,3,1,9,0.014066666666666667,67.41881661073351,agent.zip
20,3,3,9,0.09013333333333333,83.8786085028719,agent.zip
20,3,1,6,0.006733333333333333,83.64625825930904,agent.zip
20,9,3,9,0.18526666666666666,74.12166203165134,agent.zip
40,6,1,6,0.0276,80.56831461663872,agent.zip
40,9,2,12,0.2739333333333333,68.723925145055,agent.zip
40,9,2,9,0.2386,66.73834200442651,agent.zip
40,9,1,9,0.06093333333333333,82.98004039018605,agent.zip
40,9,3,12,0.41673333333333334,77.16781290294878,agent.zip
40,9,3,9,0.332,82.94540988126009,agent.zip
40,3,2,9,0.07113333333333334,88.32673421930592,agent.zip
40,9,3,6,0.18993333333333334,75.95801587848275,agent.zip
