Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,3,2,9,0.011133333333333334,73.58853410959048,agent.zip
5,9,3,12,0.0538,67.93793542719047,agent.zip
5,3,3,6,0.010266666666666667,80.88818186241916,agent.zip
5,6,3,9,0.04173333333333333,65.9318902147258,agent.zip
10,3,2,12,0.018733333333333334,78.32784164557613,agent.zip
10,3,3,12,0.07353333333333334,76.18090442513716,agent.zip
10,9,1,9,0.0158,82.11916161702241,agent.zip
10,9,3,12,0.13173333333333334,92.11744631640481,agent.zip
10,3,1,6,0.008,70.1654165189466,agent.zip
10,6,1,9,0.010066666666666666,82.29431287967697,agent.zip
10,6,1,12,0.027933333333333334,90.04978050529647,agent.zip
10,9,2,9,0.0508,71.58691396739304,agent.zip
10,6,2,12,0.032266666666666666,74.10537339376972,agent.zip
20,6,3,12,0.21733333333333332,83.36439649565182,agent.zip
20,3,2,9,0.043,80.0415120560434,agent.zip
20,3,1,6,0.015,89.81356181117638,agent.zip
20,9,3,12,0.25326666666666664,77.8462878217398,agent.zip
20,9,2,12,0.12086666666666666,80.80333099822131,agent.zip
20,6,1,12,0.019666666666666666,95.34502138740737,agent.zip
20,9,3,9,0.1776,59.628739412673504,agent.zip
40,6,1,9,0.04786666666666667,82.08996638860238,agent.zip
40,6,2,6,0.0646,72.44872420240522,agent.zip
40,9,1,12,0.07646666666666667,62.81005746197479,agent.zip
40,9,2,9,0.19413333333333332,70.12963894422657,agent.zip
