Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,3,3,9,0.0318,80.0361530476479,agent.zip
5,6,3,12,0.0604,73.67505476661653,agent.zip
10,9,2,12,0.038066666666666665,79.59246410785234,agent.zip
5,6,3,9,0.0438,80.0323637587037,agent.zip
5,9,3,6,0.022466666666666666,70.98885605974682,agent.zip
5,3,2,12,0.0114,69.62311646439858,agent.zip
5,6,1,12,0.0044666666666666665,72.9080469471184,agent.zip
5,3,1,12,0.002,72.91137858753444,agent.zip
5,9,1,9,0.007,82.73877533360731,agent.zip
10,6,1,6,0.0062,72.99957114905285,agent.zip
5,3,2,6,0.0038,78.83735061063408,agent.zip
10,6,3,12,0.11913333333333333,84.35643245365003,agent.zip
20,3,2,9,0.04833333333333333,62.406186290848005,agent.zip
20,6,3,9,0.19226666666666667,79.95377884537218,agent.zip
20,9,1,12,0.034866666666666664,80.80634935857191,agent.zip
20,9,3,9,0.22726666666666667,88.17806792718449,agent.zip
40,6,2,9,0.1542,63.7570472291804,agent.zip
40,3,1,6,0.0172,71.21484884711677,agent.zip
40,6,1,6,0.031933333333333334,80.75486316348916,agent.zip
40,9,1,12,0.10793333333333334,93.26599223297967,agent.zip
40,9,1,6,0.04173333333333333,81.1566465549632,agent.zip
40,3,3,9,0.2532,66.8458419350299,agent.zip
40,9,2,6,0.11093333333333333,71.01743452638155,agent.zip
40,3,2,6,0.0422,84.99475434275824,agent.zip
