Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,6,3,12,0.05433333333333333,87.25552055978964,agent.zip
5,9,3,12,0.06953333333333334,87.24880987991119,agent.zip
5,9,2,9,0.013733333333333334,84.03006113619624,agent.zip
5,3,3,6,0.0138,85.71348292619238,agent.zip
5,6,3,9,0.032466666666666665,66.57392057365645,agent.zip
5,9,1,12,0.01,64.19412038009821,agent.zip
10,3,2,6,0.014466666666666666,77.00783155497804,agent.zip
5,9,3,6,0.0256,85.70384689991269,agent.zip
5,9,2,6,0.0071333333333333335,87.25097915008352,agent.zip
10,6,3,9,0.09106666666666667,79.27067549245628,agent.zip
10,3,2,9,0.012333333333333333,83.24386300671691,agent.zip
10,3,3,12,0.08566666666666667,63.34140790381395,agent.zip
10,9,1,9,0.008466666666666667,71.48099744258553,agent.zip
20,9,3,9,0.21473333333333333,79.61484431029149,agent.zip
20,9,2,9,0.06966666666666667,74.00318801485813,agent.zip
20,6,3,12,0.1892,81.3679012072604,agent.zip
20,3,2,6,0.019666666666666666,78.70781043960397,agent.zip
20,3,1,12,0.013,71.61937765516934,agent.zip
20,3,1,9,0.008333333333333333,74.6697009285754,agent.zip
20,3,3,12,0.1448,78.55849961416213,agent.zip
40,6,1,9,0.03153333333333333,87.37321841811203,agent.zip
40,9,1,9,0.0448,87.34885662726226,agent.zip
40,3,3,9,0.20453333333333334,92.64414840879213,agent.zip
40,9,3,12,0.44326666666666664,84.30461443242075,agent.zip
