Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,3,2,12,0.0124,71.59917613764858,agent.zip
5,3,3,9,0.028,70.82908982349635,agent.zip
10,3,1,12,0.0094,70.30974157067241,agent.zip
10,3,3,12,0.0626,68.3831213281117,agent.zip
5,6,1,6,0.0048,77.51894521441328,agent.zip
10,9,3,6,0.0488,80.16144051706652,agent.zip
10,3,3,6,0.028466666666666668,72.55823493785846,agent.zip
10,6,2,9,0.026133333333333335,70.72038111946691,agent.zip
10,3,1,6,0.0041333333333333335,68.33429414408937,agent.zip
10,3,3,9,0.06306666666666666,76.02236009265181,agent.zip
20,3,3,9,0.10613333333333333,69.32594927196129,agent.zip
20,9,1,6,0.030866666666666667,82.09428881078166,agent.zip
20,3,3,6,0.07253333333333334,70.73175146328386,agent.zip
20,3,3,12,0.11453333333333333,81.47195574543657,agent.zip
20,6,1,9,0.0236,61.67252404942447,agent.zip
20,9,3,6,0.12106666666666667,50.94613027860426,agent.zip
20,9,1,12,0.05553333333333333,66.01062797562795,agent.zip
20,9,2,6,0.04373333333333333,69.64496572764506,agent.zip
40,6,3,12,0.34973333333333334,72.39125642066635,agent.zip
40,6,2,6,0.08246666666666666,66.98214096700943,agent.zip
40,6,1,6,0.029466666666666665,79.53864825698926,agent.zip
40,9,1,12,0.08886666666666666,73.52826898078278,agent.zip
40,3,1,6,0.017133333333333334,83.88966306237516,agent.zip
40,9,3,6,0.2472,79.87774394030173,agent.zip
