Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,9,2,6,0.026133333333333335,86.0113307796248,agent.zip
5,6,1,9,0.005066666666666666,75.9521829096156,agent.zip
5,6,2,12,0.054733333333333335,73.65381943709289,agent.zip
5,9,1,9,0.007466666666666667,75.93982695033563,agent.zip
5,9,2,9,0.0284,93.169713517758,agent.zip
5,3,1,12,0.0034,81.0234942075865,agent.zip
5,6,2,6,0.018666666666666668,86.01577098819364,agent.zip
10,3,3,9,0.061733333333333335,76.7391033985964,agent.zip
10,3,3,12,0.09746666666666666,63.92188132483186,agent.zip
10,3,1,12,0.0038666666666666667,82.69365692775338,agent.zip
10,6,3,6,0.06413333333333333,78.56810784579132,agent.zip
10,9,1,12,0.009133333333333334,82.66513786677804,agent.zip
10,9,2,6,0.0272,75.0240691661261,agent.zip
10,3,1,6,0.0062,71.7762172481361,agent.zip
20,3,3,9,0.13046666666666668,75.05029396701462,agent.zip
20,6,3,9,0.17186666666666667,68.55145831116945,agent.zip
20,6,2,12,0.09953333333333333,81.70397095903321,agent.zip
20,9,1,6,0.037866666666666667,73.11622375448484,agent.zip
40,9,2,12,0.22766666666666666,85.59465263485264,agent.zip
40,9,1,6,0.027666666666666666,86.03294759648536,agent.zip
40,9,3,6,0.23193333333333332,71.56953701934846,agent.zip
40,6,3,9,0.2663333333333333,84.2208702321485,agent.zip
40,6,2,9,0.14433333333333334,76.23111040898571,agent.zip
40,3,3,9,0.20073333333333335,65.45641111335694,agent.zip
