Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,9,3,9,0.0634,74.83670351070812,agent.zip
5,3,2,6,0.0036666666666666666,70.01395408718908,agent.zip
5,9,2,12,0.04173333333333333,68.41771272791283,agent.zip
10,6,3,6,0.055733333333333336,87.82084523238609,agent.zip
10,6,3,9,0.0848,74.68134176084689,agent.zip
10,9,2,12,0.066,82.57965168993108,agent.zip
10,6,2,6,0.011866666666666666,78.70855508460029,agent.zip
10,6,2,12,0.0488,82.59221002900503,agent.zip
10,9,1,6,0.008666666666666666,95.96165033475513,agent.zip
10,9,2,9,0.056133333333333334,62.49668696711693,agent.zip
20,9,2,12,0.1306,72.35627638675602,agent.zip
20,3,1,12,0.014933333333333333,74.96163886857184,agent.zip
20,9,1,6,0.0176,74.46586687617956,agent.zip
20,9,1,12,0.05733333333333333,72.76459246558615,agent.zip
20,9,2,9,0.11386666666666667,66.1107888818299,agent.zip
40,3,2,6,0.06566666666666666,77.16696677499826,agent.zip
40,6,1,9,0.03713333333333333,74.30018233206398,agent.zip
40,9,1,6,0.06933333333333333,78.09262101136626,agent.zip
40,3,1,9,0.022933333333333333,74.31349477974942,agent.zip
40,9,2,12,0.266,62.00355535448433,agent.zip
40,9,3,9,0.35833333333333334,79.26348911352514,agent.zip
40,3,3,12,0.2896666666666667,78.51314328413427,agent.zip
40,6,3,6,0.15626666666666666,74.37657897203512,agent.zip
40,3,1,6,0.027266666666666668,72.65895689334103,agent.zip
