Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
30,6,2,9,0.42777777777777776,63.26433368545546,agent.zip
30,3,2,12,0.24722222222222223,63.323986920468194,agent.zip
30,6,2,12,0.42777777777777776,63.26433368545546,agent.zip
30,3,3,6,0.275,57.2035786372366,agent.zip
40,3,2,9,0.4361111111111111,60.64462550326184,agent.zip
40,9,3,9,0.7138888888888889,63.062506408067314,agent.zip
40,6,2,9,0.5638888888888889,60.35845927855099,agent.zip
40,3,3,6,0.48333333333333334,63.2339995607579,agent.zip
40,3,2,6,0.4361111111111111,60.64462550326184,agent.zip
40,9,2,9,0.6472222222222223,60.232945998704785,agent.zip
