Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
40,6,2,12,0.49722222222222223,63.733081980783,agent.zip
40,3,3,6,0.28888888888888886,57.277023255580474,agent.zip
30,3,2,12,0.3,59.75975079127766,agent.zip
30,9,3,12,0.5388888888888889,65.000302773878,agent.zip
30,3,3,9,0.3194444444444444,56.908650105533106,agent.zip
40,6,3,12,0.44722222222222224,57.518948816010436,agent.zip
30,6,3,9,0.425,57.17743891622295,agent.zip
40,9,3,12,0.5777777777777777,57.913737808398785,agent.zip
40,9,2,9,0.6,63.73061800444913,agent.zip
40,9,2,12,0.6,63.73061800444913,agent.zip
