Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
30,9,3,12,0.5583333333333333,61.7740581065059,agent.zip
30,9,3,6,0.5583333333333333,61.7740581065059,agent.zip
30,6,3,6,0.3972222222222222,61.89498106723598,agent.zip
40,3,2,6,0.425,63.55176276869387,agent.zip
30,6,2,6,0.4361111111111111,64.0978573259186,agent.zip
30,3,3,9,0.3,61.96405997235333,agent.zip
30,3,3,6,0.3,61.96405997235333,agent.zip
30,3,2,6,0.35,64.08408599045892,agent.zip
40,9,3,6,0.675,58.861226314794294,agent.zip
40,6,3,9,0.5805555555555556,58.72760646938341,agent.zip
