Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,3,2,9,0.0068,89.82480975316277,agent.zip
5,9,2,12,0.0618,75.10593936575918,agent.zip
5,9,1,12,0.0224,68.42227584503867,agent.zip
10,3,1,9,0.005266666666666667,77.60516376990721,agent.zip
5,3,3,6,0.021666666666666667,83.56134350466856,agent.zip
5,3,1,9,0.0006666666666666666,72.571064609219,agent.zip
5,6,1,12,0.01633333333333333,68.42280520173014,agent.zip
5,6,2,12,0.04806666666666667,75.09960072591694,agent.zip
10,6,3,6,0.04986666666666666,74.88756539869318,agent.zip
5,3,3,12,0.038933333333333334,90.85407824350828,agent.zip
10,9,2,9,0.046533333333333336,84.46890838394151,agent.zip
10,3,3,9,0.07273333333333333,69.90406568996563,agent.zip
10,3,2,6,0.012066666666666667,76.52695449451139,agent.zip
10,9,3,12,0.18246666666666667,70.8605083000932,agent.zip
10,3,1,6,0.0031333333333333335,78.18558533322431,agent.zip
20,3,1,9,0.012133333333333333,69.95551216037921,agent.zip
20,3,2,9,0.0256,66.58429151175852,agent.zip
20,9,1,9,0.03233333333333333,69.95028723292809,agent.zip
20,3,1,6,0.009,71.23929458454185,agent.zip
20,6,1,12,0.019466666666666667,88.42138356600923,agent.zip
20,9,1,6,0.0176,71.24265911979066,agent.zip
40,9,3,6,0.1802,84.73560697943172,agent.zip
40,6,2,9,0.1074,85.55444517095425,agent.zip
40,6,3,12,0.4126666666666667,74.41460074120174,agent.zip
