Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,6,2,9,0.018,91.89240779917945,agent.zip
10,9,2,12,0.07333333333333333,91.60899113248462,agent.zip
10,3,1,9,0.005666666666666667,86.29357518321645,agent.zip
10,6,3,6,0.004,92.69560175715094,agent.zip
40,3,3,9,0.16366666666666665,59.80925090538302,agent.zip
10,9,3,6,0.008,92.69551163736737,agent.zip
5,3,2,12,0.005333333333333333,53.246403038672696,agent.zip
20,3,3,12,0.187,84.57478814833081,agent.zip
20,3,2,12,0.08,59.6779646063487,agent.zip
5,3,2,6,0.002,77.83325024792715,agent.zip
40,6,1,9,0.036333333333333336,76.228680760171,agent.zip
10,6,3,12,0.07366666666666667,87.90309218117358,agent.zip
20,3,3,6,0.10533333333333333,71.49180533228584,agent.zip
10,6,2,9,0.042333333333333334,61.19621493472078,agent.zip
20,9,2,6,0.03766666666666667,84.76763188356666,agent.zip
5,6,3,6,0.0013333333333333333,73.80317880595196,agent.zip
40,3,2,6,0.023666666666666666,55.85433285979656,agent.zip
20,3,1,12,0.006333333333333333,53.16838210714107,agent.zip
40,3,1,6,0.007666666666666666,76.1964847583739,agent.zip
40,6,1,6,0.023333333333333334,75.97937265473097,agent.zip
40,6,3,6,0.153,70.2986544208996,agent.zip
40,6,2,12,0.20633333333333334,80.25010144883906,agent.zip
40,9,2,9,0.10433333333333333,69.48814295797628,agent.zip
40,6,2,6,0.030666666666666665,69.28189722659562,agent.zip
