Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
30,3,3,12,0.3861111111111111,59.493965177970885,agent.zip
30,3,3,9,0.3861111111111111,59.493965177970885,agent.zip
40,9,2,12,0.6305555555555555,60.87480801722325,agent.zip
40,3,2,12,0.32222222222222224,61.08057347691997,agent.zip
30,9,2,6,0.625,52.04155012388352,agent.zip
30,3,2,12,0.3611111111111111,51.794428870073546,agent.zip
30,6,2,6,0.45,51.93823685117517,agent.zip
30,6,3,6,0.5055555555555555,59.51265039517856,agent.zip
40,9,3,6,0.6444444444444445,64.02511711629043,agent.zip
40,9,3,9,0.6444444444444445,64.02511711629043,agent.zip
