Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,3,1,9,0.0033333333333333335,70.17702405027036,agent.zip
5,6,1,12,0.009666666666666667,63.18243476937763,agent.zip
5,6,2,12,0.022333333333333334,50.503925080443786,agent.zip
20,3,3,6,0.05,61.58689459513625,agent.zip
20,3,2,9,0.06533333333333333,73.3819010270095,agent.zip
40,3,1,6,0.015666666666666666,93.89997660561669,agent.zip
40,3,3,9,0.152,98.88498468453777,agent.zip
40,3,3,6,0.15033333333333335,83.37325938699342,agent.zip
20,9,3,6,0.07466666666666667,89.47120500268245,agent.zip
20,3,3,12,0.19733333333333333,61.49937580332877,agent.zip
5,9,3,12,0.12933333333333333,81.4422719699698,agent.zip
5,6,1,9,0.0036666666666666666,74.55328676833443,agent.zip
40,9,1,9,0.02666666666666667,97.0523640001232,agent.zip
5,9,2,12,0.031,80.61587320389056,agent.zip
40,6,2,6,0.03833333333333333,82.46247097261913,agent.zip
40,9,2,6,0.114,53.97858828360054,agent.zip
10,9,2,6,0.03666666666666667,43.072370561410345,agent.zip
5,6,2,9,0.017333333333333333,72.20148954089609,agent.zip
10,9,1,9,0.011666666666666667,66.37233956198371,agent.zip
40,9,1,12,0.031,68.04466369380303,agent.zip
20,6,2,6,0.0,90.26082328481353,agent.zip
20,3,2,12,0.07866666666666666,88.26820298865852,agent.zip
40,3,2,12,0.182,79.81537695702761,agent.zip
10,3,1,9,0.007666666666666666,93.10843864592049,agent.zip
