Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
30,9,3,9,0.6805555555555556,62.1493247103453,agent.zip
40,9,2,12,0.7472222222222222,58.050294858199415,agent.zip
30,9,3,6,0.6805555555555556,62.1493247103453,agent.zip
30,6,2,12,0.5166666666666667,55.40838511890763,agent.zip
30,3,3,6,0.425,58.228498980013335,agent.zip
30,9,2,9,0.675,55.52050735302663,agent.zip
30,6,2,6,0.5166666666666667,55.40838511890763,agent.zip
40,3,2,6,0.48333333333333334,58.099977212852814,agent.zip
40,3,2,9,0.48333333333333334,58.099977212852814,agent.zip
40,3,3,6,0.45,56.78970537387497,agent.zip
