Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,6,1,12,0.0026,64.37974075763348,agent.zip
5,9,3,6,0.05686666666666667,81.79079741273365,agent.zip
5,3,3,6,0.0336,81.79251515434215,agent.zip
10,6,1,6,0.0046,79.03861408943771,agent.zip
10,9,1,12,0.026066666666666665,74.57664074115272,agent.zip
5,3,3,12,0.051666666666666666,83.42283206918522,agent.zip
5,6,3,6,0.044533333333333334,81.79101483104658,agent.zip
5,3,2,12,0.020733333333333333,93.07490288946902,agent.zip
10,6,2,6,0.024266666666666666,77.32470144156862,agent.zip
10,6,3,9,0.12466666666666666,83.94151804121708,agent.zip
10,9,3,9,0.12026666666666666,81.84795480986882,agent.zip
10,3,1,6,0.0028,79.04842252113453,agent.zip
10,9,1,6,0.006533333333333334,79.02877051151019,agent.zip
20,9,1,12,0.0514,75.35466980017489,agent.zip
20,3,3,12,0.18246666666666667,71.09597380678422,agent.zip
20,9,3,12,0.25853333333333334,86.0246913778822,agent.zip
20,9,2,6,0.0296,82.95651733908008,agent.zip
20,6,3,9,0.13433333333333333,84.81228471548197,agent.zip
20,6,2,6,0.0132,78.84627750933768,agent.zip
40,9,2,6,0.07826666666666666,75.03542790037638,agent.zip
40,6,2,12,0.2102,64.52168488212627,agent.zip
40,9,1,9,0.0522,77.59285530163075,agent.zip
40,9,2,9,0.16673333333333334,74.33607292738564,agent.zip
40,9,3,9,0.3480666666666667,78.54346446994396,agent.zip
