Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,9,3,12,0.10733333333333334,77.42645437070362,agent.zip
5,3,1,12,0.012,77.45215189473308,agent.zip
10,3,2,9,0.019,74.74862500400505,agent.zip
10,6,2,6,0.013066666666666667,81.8793153453023,agent.zip
5,6,3,12,0.060066666666666664,64.57070037253523,agent.zip
5,3,2,9,0.009533333333333333,66.02853491194631,agent.zip
5,6,2,9,0.0142,66.02266746732874,agent.zip
5,3,2,12,0.0232,73.2579985938292,agent.zip
10,9,2,6,0.0188,81.86238557305938,agent.zip
10,9,3,12,0.15133333333333332,74.66478314698415,agent.zip
10,9,1,9,0.010466666666666668,77.06800320779853,agent.zip
10,3,3,6,0.0432,82.19293491548504,agent.zip
10,9,1,6,0.0148,84.17400709707739,agent.zip
20,6,2,6,0.044333333333333336,90.77279014680516,agent.zip
20,6,3,12,0.2338,73.74972050864376,agent.zip
20,3,2,6,0.0292,88.01981951978418,agent.zip
20,9,1,9,0.0642,73.03421094804784,agent.zip
20,9,1,12,0.06426666666666667,74.35362571001914,agent.zip
20,6,2,9,0.06593333333333333,78.90843444765089,agent.zip
40,6,3,6,0.17033333333333334,78.09183206239726,agent.zip
40,3,3,12,0.2776,98.06668192055902,agent.zip
40,9,3,12,0.4478,74.1185161709708,agent.zip
40,9,3,9,0.39873333333333333,83.55930772467845,agent.zip
40,6,2,6,0.07333333333333333,77.67494170283898,agent.zip
